Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 687401  Y 262992
X 696850  Y 262992
X 690551  Y 262992
X 693700  Y 262992
X 684251  Y 262992
X 700000  Y 262992
X 696850  Y 256692
X 690551  Y 256692
X 693700  Y 256692
X 687401  Y 256692
X 684251  Y 256692
X 700000  Y 256692
X 690551  Y 253543
X 693700  Y 253543
X 687401  Y 253543
X 684251  Y 253543
X 696850  Y 253543
X 700000  Y 253543
X 690551  Y 250393
X 693700  Y 250393
X 684251  Y 250393
X 696850  Y 250393
X 687401  Y 250393
X 700000  Y 250393
X 684251  Y 247244
X 690551  Y 247244
X 687401  Y 247244
X 696850  Y 247244
X 693700  Y 247244
X 700000  Y 247244
X 684251  Y 244094
X 693700  Y 244094
X 696850  Y 244094
X 690551  Y 244094
X 687401  Y 244094
X 700000  Y 244094
X 690551  Y 240944
X 687401  Y 240944
X 693700  Y 240944
X 696850  Y 240944
X 684251  Y 240944
X 690551  Y 125984
X 687401  Y 125984
X 696850  Y 125984
X 693700  Y 125984
X 684251  Y 125984
X 700000  Y 122834
X 687401  Y 122834
X 684251  Y 122834
X 693700  Y 122834
X 690551  Y 122834
X 696850  Y 122834
X 690551  Y 119685
X 684251  Y 119685
X 696850  Y 119685
X 693700  Y 119685
X 687401  Y 119685
X 684251  Y 116535
X 690551  Y 116535
X 693700  Y 116535
X 696850  Y 116535
X 687401  Y 116535
X 699990  Y 116525
X 687401  Y 113385
X 690551  Y 113385
X 693700  Y 113385
X 700000  Y 113385
X 684251  Y 113385
X 696850  Y 113385
X 700000  Y 107086
X 693700  Y 107086
X 684251  Y 107086
X 696850  Y 107086
X 687401  Y 107086
X 690551  Y 107086
X 700000  Y 103937
X 687401  Y 103937
X 696850  Y 103937
X 693700  Y 103937
X 684251  Y 103937
X 690551  Y 103937
X 696850  Y 100787
X 700000  Y 100787
X 687401  Y 100787
X 690551  Y 100787
X 684251  Y 100787
X 693700  Y 100787
X 690551  Y 97637
X 684251  Y 97637
X 693700  Y 97637
X 687401  Y 97637
X 700000  Y 97637
X 696850  Y 97637
X 690551  Y 94488
X 687401  Y 94488
X 684251  Y 94488
X 696850  Y 94488
X 693700  Y 94488
X 700000  Y 94488
X 690551  Y 91338
X 687401  Y 91338
X 693700  Y 91338
X 684251  Y 91338
X 696850  Y 91338
X 763779  Y 119685
X 716141  Y 168110
X 775590  Y 169291
X 775590  Y 172440
X 772440  Y 172440
X 775590  Y 175590
X 775590  Y 178740
X 772450  Y 178749
X 772440  Y 181889
X 775590  Y 181889
X 775590  Y 188188
X 772440  Y 188188
X 772440  Y 191338
X 775590  Y 191338
X 775590  Y 194488
X 772440  Y 194488
X 775590  Y 197637
X 772440  Y 197637
X 775590  Y 200787
X 772440  Y 200787
X 775590  Y 203937
X 763779  Y 269291
X 716141  Y 317716
X 775590  Y 318897
X 775590  Y 322047
X 772440  Y 322047
X 775590  Y 325196
X 775590  Y 328346
X 772450  Y 328356
X 772440  Y 331496
X 775590  Y 331496
X 772440  Y 337795
X 775590  Y 337795
X 772440  Y 340944
X 775590  Y 340944
X 772440  Y 344094
X 775590  Y 344094
X 772440  Y 347244
X 775590  Y 347244
X 775590  Y 350393
X 772440  Y 350393
X 775590  Y 353543
X 759055  Y 435039
X 764566  Y 435039
X 753543  Y 435039
X 718897  Y 459055
X 713385  Y 459055
X 707874  Y 459055
X 716141  Y 467322
X 775590  Y 468503
X 772440  Y 471653
X 775590  Y 471653
X 775590  Y 474803
X 775590  Y 477952
X 772450  Y 477962
X 775590  Y 481102
X 772440  Y 481102
X 775590  Y 487401
X 772440  Y 487401
X 775590  Y 490551
X 772440  Y 490551
X 772440  Y 493700
X 775590  Y 493700
